6.9000	-1.7500	-2.5000	0.1455	0.0172	0.6987	0.0027	0.0187
6.9000	-1.7500	-2.2500	0.1007	0.0237	0.8543	0.0019	0.0135
6.9000	-1.7500	-2.0000	0.0721	0.0312	1.0035	0.0013	0.0100
6.9000	-1.7250	-2.5000	0.1455	0.0172	0.6987	0.0029	0.0187
6.9000	-1.7250	-2.4500	0.1365	0.0185	0.7298	0.0027	0.0177
6.9000	-1.7250	-2.4000	0.1276	0.0198	0.7609	0.0025	0.0166
6.9000	-1.7250	-2.3500	0.1186	0.0211	0.7921	0.0024	0.0156
6.9000	-1.7250	-2.3000	0.1097	0.0224	0.8232	0.0022	0.0145
6.9000	-1.7250	-2.2500	0.1007	0.0237	0.8543	0.0020	0.0135
6.9000	-1.7250	-2.2000	0.0950	0.0252	0.8841	0.0019	0.0128
6.9000	-1.7250	-2.1500	0.0893	0.0267	0.9140	0.0018	0.0121
6.9000	-1.7250	-2.1000	0.0835	0.0282	0.9438	0.0016	0.0114
6.9000	-1.7250	-2.0500	0.0778	0.0297	0.9737	0.0015	0.0107
6.9000	-1.7250	-2.0000	0.0721	0.0312	1.0035	0.0014	0.0100
6.9000	-1.7000	-2.5000	0.1455	0.0172	0.6987	0.0031	0.0187
6.9000	-1.7000	-2.4500	0.1365	0.0185	0.7298	0.0029	0.0177
6.9000	-1.7000	-2.4000	0.1276	0.0198	0.7609	0.0027	0.0166
6.9000	-1.7000	-2.3500	0.1186	0.0211	0.7921	0.0025	0.0156
6.9000	-1.7000	-2.3000	0.1097	0.0224	0.8232	0.0023	0.0145
6.9000	-1.7000	-2.2500	0.1007	0.0237	0.8543	0.0021	0.0135
6.9000	-1.7000	-2.2000	0.0950	0.0252	0.8841	0.0020	0.0128
6.9000	-1.7000	-2.1500	0.0893	0.0267	0.9140	0.0019	0.0121
6.9000	-1.7000	-2.1000	0.0835	0.0282	0.9438	0.0017	0.0114
6.9000	-1.7000	-2.0500	0.0778	0.0297	0.9737	0.0016	0.0107
6.9000	-1.7000	-2.0000	0.0721	0.0312	1.0035	0.0015	0.0100
6.9000	-1.6750	-2.5000	0.1455	0.0172	0.6987	0.0032	0.0187
6.9000	-1.6750	-2.2500	0.1007	0.0237	0.8543	0.0023	0.0135
6.9000	-1.6750	-2.0000	0.0721	0.0312	1.0034	0.0016	0.0100
6.9000	-1.6500	-2.5000	0.1455	0.0172	0.6987	0.0034	0.0187
6.9000	-1.6500	-2.4500	0.1365	0.0185	0.7298	0.0032	0.0177
6.9000	-1.6500	-2.4000	0.1276	0.0198	0.7609	0.0030	0.0166
6.9000	-1.6500	-2.3500	0.1186	0.0211	0.7921	0.0028	0.0156
6.9000	-1.6500	-2.3000	0.1097	0.0224	0.8232	0.0026	0.0145
6.9000	-1.6500	-2.2500	0.1007	0.0237	0.8543	0.0024	0.0135
6.9000	-1.6500	-2.2000	0.0950	0.0252	0.8841	0.0023	0.0128
6.9000	-1.6500	-2.1500	0.0893	0.0267	0.9139	0.0021	0.0121
6.9000	-1.6500	-2.1000	0.0835	0.0282	0.9438	0.0020	0.0114
6.9000	-1.6500	-2.0500	0.0778	0.0297	0.9736	0.0018	0.0107
6.9000	-1.6500	-2.0000	0.0721	0.0312	1.0034	0.0017	0.0100
6.9000	-1.6250	-2.5000	0.1455	0.0172	0.6987	0.0036	0.0187
6.9000	-1.6250	-2.4500	0.1365	0.0185	0.7298	0.0034	0.0177
6.9000	-1.6250	-2.4000	0.1276	0.0198	0.7609	0.0032	0.0166
6.9000	-1.6250	-2.3500	0.1186	0.0211	0.7921	0.0029	0.0156
6.9000	-1.6250	-2.3000	0.1097	0.0224	0.8232	0.0027	0.0145
6.9000	-1.6250	-2.2500	0.1007	0.0237	0.8543	0.0025	0.0135
6.9000	-1.6250	-2.2000	0.0950	0.0252	0.8841	0.0024	0.0128
6.9000	-1.6250	-2.1500	0.0893	0.0267	0.9139	0.0022	0.0121
6.9000	-1.6250	-2.1000	0.0835	0.0282	0.9438	0.0021	0.0114
6.9000	-1.6250	-2.0500	0.0778	0.0297	0.9736	0.0019	0.0107
6.9000	-1.6250	-2.0000	0.0721	0.0312	1.0034	0.0018	0.0100
6.9000	-1.6000	-2.5000	0.1455	0.0172	0.6987	0.0038	0.0187
6.9000	-1.6000	-2.4500	0.1365	0.0185	0.7298	0.0036	0.0177
6.9000	-1.6000	-2.4000	0.1276	0.0198	0.7609	0.0034	0.0166
