#Cloudy 17.00 models results grids
# O/H: 7.1 - 8.9, log U: -4.0 - -1.5, T*: 30 - 140 kK
# SED: WM-Basic (Pauldrach et al 2001 (30-60 kK), Rauch (80-120 kK)) 
#spherical geometry
#
12+log(O/H) Teff log(Usp) OII_3727 OIII_5007 SII_6717,31 SIII_9069 HeI_4471 HeI_5876 HeI_6678 HeII_4686 ArIV_4740 ArIII_7135 NII_6584	CIV_1549	CIII_1909
7.1 35000 -2.56 1.0783 0.2188 0.0511 0.0331 0.0145 0.0373 0.0104 0.0000 0.0000 0.0100 0.0251 0.0000 0.1715
7.1 35000 -2.30 1.0259 0.3588 0.0381 0.0368 0.0163 0.0419 0.0117 0.0000 0.0000 0.0119 0.0213 0.0000 0.2376
7.1 35000 -2.05 0.9409 0.5111 0.0288 0.0396 0.0180 0.0464 0.0129 0.0000 0.0000 0.0138 0.0173 0.0000 0.3069
7.1 35000 -1.80 0.8389 0.6686 0.0221 0.0416 0.0192 0.0497 0.0138 0.0000 0.0000 0.0154 0.0136 0.0014 0.3777
7.1 35000 -1.55 0.7284 0.8317 0.0172 0.0432 0.0198 0.0514 0.0143 0.0000 0.0000 0.0165 0.0105 0.0044 0.4532
7.1 37500 -4.00 0.4749 0.0011 0.1440 0.0052 0.0141 0.0362 0.0102 0.0000 0.0000 0.0040 0.0233 0.0000 0.0040
7.1 37500 -3.75 0.5768 0.0038 0.1326 0.0085 0.0157 0.0402 0.0114 0.0000 0.0000 0.0053 0.0256 0.0000 0.0095
7.1 37500 -3.52 0.7066 0.0114 0.1164 0.0137 0.0179 0.0457 0.0129 0.0000 0.0000 0.0071 0.0277 0.0000 0.0237
7.1 37500 -3.27 0.8384 0.0430 0.0932 0.0200 0.0188 0.0482 0.0135 0.0000 0.0000 0.0090 0.0274 0.0000 0.0534
7.1 37500 -3.04 0.9217 0.1405 0.0701 0.0267 0.0195 0.0500 0.0140 0.0000 0.0000 0.0110 0.0240 0.0000 0.1093
7.1 37500 -2.80 0.8947 0.3277 0.0513 0.0327 0.0201 0.0515 0.0144 0.0000 0.0000 0.0130 0.0194 0.0000 0.1908
7.1 37500 -2.55 0.7997 0.5434 0.0376 0.0373 0.0204 0.0525 0.0147 0.0000 0.0000 0.0147 0.0152 0.0000 0.2800
7.1 37500 -2.30 0.6904 0.7465 0.0284 0.0405 0.0206 0.0530 0.0148 0.0000 0.0000 0.0160 0.0118 0.0000 0.3668
7.1 37500 -2.05 0.5830 0.9349 0.0220 0.0426 0.0206 0.0532 0.0148 0.0000 0.0000 0.0169 0.0092 0.0025 0.4536
7.1 37500 -1.80 0.4834 1.1135 0.0175 0.0440 0.0206 0.0532 0.0148 0.0000 0.0000 0.0177 0.0071 0.0070 0.5468
7.1 37500 -1.55 0.3997 1.2775 0.0144 0.0447 0.0205 0.0531 0.0148 0.0000 0.0000 0.0182 0.0057 0.0155 0.6474
7.1 40000 -4.00 0.5228 0.0067 0.1431 0.0086 0.0210 0.0539 0.0152 0.0000 0.0000 0.0071 0.0251 0.0000 0.0128
7.1 40000 -3.75 0.6221 0.0243 0.1222 0.0130 0.0213 0.0546 0.0154 0.0000 0.0000 0.0085 0.0264 0.0000 0.0272
7.1 40000 -3.51 0.7299 0.0501 0.0987 0.0184 0.0212 0.0542 0.0153 0.0000 0.0000 0.0097 0.0262 0.0000 0.0497
7.1 40000 -3.27 0.7793 0.1619 0.0743 0.0248 0.0213 0.0544 0.0153 0.0000 0.0000 0.0115 0.0223 0.0000 0.0966
7.1 40000 -3.03 0.7079 0.4015 0.0532 0.0313 0.0212 0.0544 0.0152 0.0000 0.0000 0.0134 0.0166 0.0000 0.1763
7.1 40000 -2.79 0.5816 0.6825 0.0389 0.0365 0.0212 0.0543 0.0152 0.0000 0.0000 0.0151 0.0122 0.0000 0.2837
7.1 40000 -2.54 0.4670 0.9408 0.0293 0.0400 0.0210 0.0541 0.0151 0.0000 0.0000 0.0164 0.0092 0.0015 0.4072
7.1 40000 -2.29 0.3773 1.1564 0.0231 0.0418 0.0209 0.0539 0.0150 0.0000 0.0000 0.0173 0.0071 0.0046 0.5311
7.1 40000 -2.04 0.3081 1.3415 0.0191 0.0425 0.0208 0.0536 0.0149 0.0000 0.0000 0.0179 0.0057 0.0109 0.6571
7.1 40000 -1.78 0.2508 1.5198 0.0161 0.0423 0.0206 0.0532 0.0148 0.0000 0.0011 0.0182 0.0046 0.0223 0.8011
7.1 40000 -1.53 0.2077 1.6796 0.0140 0.0414 0.0203 0.0528 0.0146 0.0000 0.0016 0.0182 0.0038 0.0403 0.9524
7.1 45000 -4.00 0.5445 0.0103 0.1438 0.0100 0.0224 0.0572 0.0162 0.0000 0.0000 0.0078 0.0261 0.0000 0.0163
7.1 45000 -3.75 0.6408 0.0367 0.1201 0.0148 0.0223 0.0570 0.0161 0.0000 0.0000 0.0092 0.0271 0.0000 0.0339
7.1 45000 -3.51 0.7433 0.0761 0.0919 0.0206 0.0219 0.0560 0.0158 0.0000 0.0000 0.0106 0.0260 0.0000 0.0628
7.1 45000 -3.26 0.7507 0.2345 0.0678 0.0271 0.0217 0.0556 0.0157 0.0000 0.0000 0.0123 0.0210 0.0000 0.1191
7.1 45000 -3.02 0.6385 0.5119 0.0487 0.0331 0.0216 0.0552 0.0155 0.0000 0.0000 0.0140 0.0153 0.0000 0.2091
7.1 45000 -2.78 0.5035 0.8174 0.0357 0.0379 0.0214 0.0548 0.0153 0.0000 0.0000 0.0155 0.0111 0.0022 0.3377
7.1 45000 -2.54 0.4017 1.0776 0.0278 0.0406 0.0212 0.0545 0.0152 0.0000 0.0000 0.0164 0.0085 0.0073 0.4814
7.1 45000 -2.29 0.3236 1.2994 0.0226 0.0417 0.0210 0.0542 0.0151 0.0000 0.0011 0.0167 0.0067 0.0178 0.6282
7.1 45000 -2.03 0.2622 1.4966 0.0189 0.0416 0.0208 0.0538 0.0150 0.0000 0.0018 0.0166 0.0054 0.0376 0.7792
7.1 45000 -1.78 0.2151 1.6742 0.0165 0.0407 0.0206 0.0533 0.0148 0.0000 0.0027 0.0162 0.0044 0.0695 0.9343
7.1 45000 -1.53 0.1788 1.8341 0.0147 0.0391 0.0204 0.0528 0.0147 0.0000 0.0036 0.0156 0.0037 0.1125 1.0905
7.1 50000 -4.00 0.5479 0.0156 0.1492 0.0105 0.0233 0.0597 0.0169 0.0000 0.0000 0.0084 0.0265 0.0000 0.0191
7.1 50000 -3.75 0.6319 0.0549 0.1235 0.0153 0.0229 0.0586 0.0165 0.0000 0.0000 0.0097 0.0269 0.0000 0.0386
7.1 50000 -3.51 0.7045 0.1270 0.0932 0.0213 0.0223 0.0569 0.0161 0.0000 0.0000 0.0111 0.0248 0.0000 0.0713
7.1 50000 -3.27 0.6491 0.3362 0.0689 0.0275 0.0219 0.0561 0.0158 0.0000 0.0000 0.0126 0.0193 0.0000 0.1310
7.1 50000 -3.02 0.5073 0.6421 0.0495 0.0332 0.0216 0.0554 0.0155 0.0000 0.0000 0.0142 0.0136 0.0048 0.2281
7.1 50000 -2.78 0.3836 0.9453 0.0367 0.0370 0.0213 0.0547 0.0153 0.0000 0.0000 0.0153 0.0099 0.0200 0.3627
7.1 50000 -2.54 0.3013 1.1940 0.0291 0.0385 0.0211 0.0542 0.0152 0.0011 0.0012 0.0156 0.0076 0.0591 0.5021
7.1 50000 -2.28 0.2403 1.4082 0.0240 0.0383 0.0209 0.0537 0.0150 0.0015 0.0020 0.0154 0.0060 0.1343 0.6318
7.1 50000 -2.07 0.2017 1.5628 0.0210 0.0374 0.0206 0.0532 0.0148 0.0019 0.0028 0.0149 0.0051 0.2199 0.7268
7.1 50000 -1.82 0.1654 1.7305 0.0183 0.0355 0.0203 0.0526 0.0146 0.0027 0.0038 0.0142 0.0042 0.3365 0.8303
7.1 50000 -1.52 0.1341 1.9021 0.0161 0.0329 0.0200 0.0517 0.0144 0.0041 0.0051 0.0131 0.0035 0.4724 0.9319
7.1 55000 -4.00 0.5625 0.0122 0.1419 0.0117 0.0237 0.0608 0.0172 0.0000 0.0000 0.0090 0.0269 0.0000 0.0217
7.1 55000 -3.75 0.6580 0.0431 0.1158 0.0166 0.0231 0.0593 0.0168 0.0000 0.0000 0.0102 0.0270 0.0000 0.0429
7.1 55000 -3.51 0.7074 0.1393 0.0898 0.0222 0.0226 0.0579 0.0164 0.0000 0.0000 0.0115 0.0240 0.0000 0.0804
7.1 55000 -3.26 0.6369 0.3695 0.0656 0.0284 0.0221 0.0567 0.0160 0.0000 0.0000 0.0130 0.0179 0.0000 0.1469
7.1 55000 -3.02 0.4927 0.6806 0.0476 0.0338 0.0217 0.0558 0.0157 0.0000 0.0000 0.0146 0.0126 0.0033 0.2514
7.1 55000 -2.78 0.3742 0.9848 0.0359 0.0374 0.0214 0.0550 0.0154 0.0000 0.0000 0.0157 0.0092 0.0143 0.3991
7.1 55000 -2.54 0.2951 1.2415 0.0287 0.0386 0.0211 0.0545 0.0152 0.0000 0.0011 0.0161 0.0071 0.0445 0.5626
7.1 55000 -2.29 0.2372 1.4607 0.0240 0.0383 0.0209 0.0539 0.0151 0.0000 0.0019 0.0160 0.0056 0.1055 0.7202
7.1 55000 -2.09 0.2017 1.6133 0.0212 0.0375 0.0206 0.0535 0.0149 0.0000 0.0027 0.0157 0.0048 0.1758 0.8353
7.1 55000 -1.78 0.1594 1.8233 0.0182 0.0354 0.0203 0.0527 0.0147 0.0011 0.0039 0.0149 0.0038 0.3042 0.9990
7.1 55000 -1.53 0.1340 1.9724 0.0163 0.0332 0.0200 0.0521 0.0145 0.0016 0.0049 0.0140 0.0033 0.4065 1.1161
7.1 60000 -4.00 0.5594 0.0189 0.1562 0.0104 0.0239 0.0610 0.0173 0.0000 0.0000 0.0092 0.0270 0.0000 0.0229
7.1 60000 -3.75 0.6381 0.0648 0.1299 0.0151 0.0231 0.0590 0.0167 0.0000 0.0000 0.0103 0.0265 0.0000 0.0448
7.1 60000 -3.50 0.6473 0.1983 0.1019 0.0209 0.0224 0.0572 0.0161 0.0013 0.0000 0.0116 0.0227 0.0000 0.0850
7.1 60000 -3.27 0.5442 0.4469 0.0764 0.0269 0.0218 0.0557 0.0156 0.0014 0.0000 0.0130 0.0168 0.0010 0.1510
7.1 60000 -3.02 0.3993 0.7649 0.0551 0.0321 0.0213 0.0544 0.0152 0.0016 0.0000 0.0143 0.0116 0.0061 0.2632
7.1 60000 -2.78 0.3016 1.0462 0.0420 0.0346 0.0208 0.0534 0.0149 0.0017 0.0000 0.0147 0.0086 0.0251 0.4098
7.1 60000 -2.53 0.2361 1.2925 0.0334 0.0349 0.0205 0.0526 0.0147 0.0021 0.0020 0.0144 0.0067 0.0785 0.5734
7.1 60000 -2.28 0.1903 1.4967 0.0278 0.0338 0.0202 0.0518 0.0144 0.0026 0.0031 0.0137 0.0054 0.1772 0.7203
7.1 60000 -2.10 0.1638 1.6293 0.0248 0.0326 0.0199 0.0512 0.0142 0.0032 0.0039 0.0131 0.0047 0.2746 0.8170
7.1 60000 -1.78 0.1298 1.8252 0.0208 0.0300 0.0194 0.0501 0.0139 0.0047 0.0054 0.0120 0.0038 0.4594 0.9591
7.1 60000 -1.53 0.1097 1.9594 0.0185 0.0277 0.0191 0.0492 0.0136 0.0064 0.0065 0.0110 0.0032 0.6194 1.0523
7.1 80000 -4.00 0.5493 0.0285 0.1675 0.0111 0.0257 0.0656 0.0185 0.0016 0.0000 0.0097 0.0280 0.0000 0.0286
7.1 80000 -3.76 0.6056 0.0933 0.1369 0.0156 0.0242 0.0617 0.0174 0.0021 0.0000 0.0106 0.0272 0.0000 0.0529
7.1 80000 -3.51 0.5753 0.2572 0.1068 0.0209 0.0229 0.0585 0.0165 0.0026 0.0000 0.0117 0.0230 0.0000 0.0950
7.1 80000 -3.27 0.4562 0.5147 0.0802 0.0260 0.0219 0.0560 0.0157 0.0029 0.0000 0.0128 0.0171 0.0054 0.1616
7.1 80000 -3.03 0.3275 0.8150 0.0583 0.0292 0.0211 0.0541 0.0151 0.0031 0.0000 0.0134 0.0119 0.0314 0.2660
7.1 80000 -2.80 0.2472 1.0771 0.0446 0.0292 0.0205 0.0526 0.0147 0.0034 0.0017 0.0129 0.0089 0.1210 0.3798
7.1 80000 -2.56 0.1943 1.3068 0.0357 0.0277 0.0200 0.0515 0.0143 0.0040 0.0030 0.0120 0.0070 0.3117 0.4795
7.1 80000 -2.31 0.1575 1.4951 0.0295 0.0257 0.0196 0.0505 0.0140 0.0050 0.0043 0.0111 0.0057 0.5510 0.5474
7.1 80000 -2.07 0.1304 1.6536 0.0250 0.0235 0.0192 0.0495 0.0137 0.0064 0.0055 0.0101 0.0047 0.7826 0.5907
7.1 80000 -1.82 0.1095 1.7931 0.0215 0.0212 0.0188 0.0485 0.0133 0.0084 0.0066 0.0092 0.0040 1.0048 0.6160
7.1 80000 -1.58 0.0939 1.9119 0.0187 0.0191 0.0184 0.0474 0.0130 0.0110 0.0077 0.0083 0.0034 1.2175 0.6249
7.1 100000 -4.00 0.5363 0.0342 0.1811 0.0111 0.0251 0.0640 0.0181 0.0392 0.0000 0.0099 0.0286 0.0000 0.0305
7.1 100000 -3.76 0.5792 0.1107 0.1463 0.0153 0.0224 0.0571 0.0161 0.0510 0.0000 0.0107 0.0275 0.0000 0.0556
7.1 100000 -3.52 0.5274 0.2919 0.1127 0.0203 0.0201 0.0512 0.0144 0.0632 0.0000 0.0116 0.0229 0.0020 0.0996
7.1 100000 -3.28 0.4073 0.5356 0.0836 0.0248 0.0184 0.0470 0.0132 0.0715 0.0000 0.0124 0.0168 0.0119 0.1688
7.1 100000 -3.04 0.2968 0.7550 0.0602 0.0266 0.0172 0.0440 0.0123 0.0763 0.0012 0.0121 0.0119 0.0666 0.2676
7.1 100000 -2.81 0.2283 0.8750 0.0460 0.0257 0.0163 0.0416 0.0116 0.0814 0.0024 0.0111 0.0090 0.2165 0.3516
7.1 100000 -2.57 0.1811 0.9451 0.0365 0.0239 0.0153 0.0392 0.0109 0.0896 0.0033 0.0102 0.0071 0.4188 0.3989
7.1 100000 -2.33 0.1473 0.9813 0.0299 0.0219 0.0143 0.0366 0.0102 0.1004 0.0040 0.0093 0.0057 0.5813 0.4172
7.1 100000 -2.09 0.1221 0.9848 0.0250 0.0198 0.0132 0.0339 0.0094 0.1136 0.0045 0.0084 0.0048 0.7081 0.4168
7.1 100000 -1.85 0.1025 0.9570 0.0212 0.0178 0.0121 0.0310 0.0086 0.1289 0.0048 0.0075 0.0040 0.8019 0.4002
7.1 100000 -1.60 0.0876 0.9035 0.0182 0.0158 0.0109 0.0280 0.0078 0.1454 0.0050 0.0067 0.0034 0.8545 0.3715
7.1 120000 -4.00 0.5281 0.0348 0.1889 0.0109 0.0249 0.0635 0.0179 0.0542 0.0000 0.0099 0.0289 0.0000 0.0306
7.1 120000 -3.76 0.5688 0.1125 0.1521 0.0150 0.0217 0.0555 0.0156 0.0697 0.0000 0.0106 0.0277 0.0000 0.0555
7.1 120000 -3.52 0.5147 0.2947 0.1169 0.0199 0.0190 0.0485 0.0136 0.0863 0.0000 0.0115 0.0230 0.0024 0.0994
7.1 120000 -3.28 0.3948 0.5310 0.0861 0.0242 0.0170 0.0433 0.0122 0.0988 0.0000 0.0122 0.0169 0.0153 0.1682
7.1 120000 -3.04 0.2872 0.7174 0.0614 0.0255 0.0155 0.0397 0.0111 0.1065 0.0013 0.0117 0.0119 0.0842 0.2606
7.1 120000 -2.82 0.2217 0.7936 0.0466 0.0242 0.0145 0.0370 0.0103 0.1133 0.0025 0.0105 0.0091 0.2487 0.3260
7.1 120000 -2.58 0.1761 0.8281 0.0367 0.0222 0.0134 0.0342 0.0095 0.1229 0.0033 0.0095 0.0071 0.4299 0.3530
7.1 120000 -2.34 0.1431 0.8346 0.0299 0.0202 0.0123 0.0314 0.0087 0.1353 0.0038 0.0085 0.0058 0.5603 0.3571
7.1 120000 -2.10 0.1184 0.8133 0.0248 0.0182 0.0111 0.0284 0.0079 0.1499 0.0041 0.0076 0.0048 0.6536 0.3461
7.1 120000 -1.86 0.0991 0.7662 0.0208 0.0161 0.0099 0.0253 0.0070 0.1663 0.0043 0.0068 0.0040 0.7117 0.3228
7.1 120000 -1.62 0.0844 0.7009 0.0177 0.0143 0.0087 0.0222 0.0062 0.1833 0.0043 0.0060 0.0034 0.7329 0.2921
7.4 30000 -3.99 0.4743 0.0000 0.1951 0.0013 0.0000 0.0025 0.0000 0.0000 0.0000 0.0000 0.0267 0.0000 0.0000
7.4 30000 -3.74 0.5693 0.0000 0.2009 0.0023 0.0011 0.0028 0.0000 0.0000 0.0000 0.0000 0.0295 0.0000 0.0000
7.4 30000 -3.51 0.6381 0.0000 0.1863 0.0050 0.0012 0.0030 0.0000 0.0000 0.0000 0.0000 0.0309 0.0000 0.0000
7.4 30000 -3.27 0.7271 0.0000 0.1738 0.0086 0.0012 0.0031 0.0000 0.0000 0.0000 0.0000 0.0331 0.0000 0.0000
7.4 30000 -3.04 0.7823 0.0000 0.1472 0.0134 0.0013 0.0033 0.0000 0.0000 0.0000 0.0000 0.0343 0.0000 0.0025
7.4 30000 -2.79 0.7978 0.0000 0.1131 0.0183 0.0015 0.0038 0.0011 0.0000 0.0000 0.0000 0.0342 0.0000 0.0049
7.4 30000 -2.54 0.7859 0.0028 0.0840 0.0218 0.0018 0.0046 0.0013 0.0000 0.0000 0.0000 0.0329 0.0000 0.0084
7.4 30000 -2.29 0.7644 0.0082 0.0616 0.0239 0.0022 0.0057 0.0017 0.0000 0.0000 0.0013 0.0309 0.0000 0.0132
7.4 30000 -2.03 0.7410 0.0193 0.0452 0.0251 0.0028 0.0072 0.0021 0.0000 0.0000 0.0017 0.0286 0.0000 0.0198
7.4 30000 -1.78 0.7170 0.0352 0.0335 0.0257 0.0034 0.0090 0.0025 0.0000 0.0000 0.0022 0.0263 0.0000 0.0274
7.4 30000 -1.53 0.6906 0.0562 0.0247 0.0260 0.0042 0.0109 0.0031 0.0000 0.0000 0.0028 0.0237 0.0000 0.0361
7.4 32500 -3.99 0.6449 0.0000 0.2490 0.0029 0.0027 0.0068 0.0020 0.0000 0.0000 0.0000 0.0350 0.0000 0.0000
7.4 32500 -3.74 0.7767 0.0000 0.2512 0.0052 0.0029 0.0075 0.0022 0.0000 0.0000 0.0012 0.0389 0.0000 0.0000
7.4 32500 -3.51 0.9562 0.0000 0.2435 0.0107 0.0040 0.0104 0.0030 0.0000 0.0000 0.0019 0.0441 0.0000 0.0031
7.4 32500 -3.28 1.1380 0.0012 0.2211 0.0177 0.0042 0.0108 0.0031 0.0000 0.0000 0.0023 0.0485 0.0000 0.0073
7.4 32500 -3.05 1.3108 0.0041 0.1853 0.0264 0.0045 0.0115 0.0033 0.0000 0.0000 0.0028 0.0519 0.0000 0.0167
7.4 32500 -2.79 1.4408 0.0162 0.1390 0.0355 0.0050 0.0128 0.0036 0.0000 0.0000 0.0036 0.0527 0.0000 0.0356
7.4 32500 -2.55 1.4854 0.0453 0.1039 0.0416 0.0058 0.0149 0.0042 0.0000 0.0000 0.0045 0.0507 0.0000 0.0562
7.4 32500 -2.29 1.4846 0.0967 0.0776 0.0459 0.0069 0.0177 0.0050 0.0000 0.0000 0.0056 0.0475 0.0000 0.0800
7.4 32500 -2.04 1.4561 0.1683 0.0582 0.0491 0.0082 0.0212 0.0060 0.0000 0.0000 0.0070 0.0435 0.0000 0.1089
7.4 32500 -1.79 1.4086 0.2552 0.0442 0.0513 0.0097 0.0250 0.0071 0.0000 0.0000 0.0086 0.0388 0.0000 0.1421
7.4 32500 -1.54 1.3373 0.3657 0.0336 0.0530 0.0112 0.0291 0.0081 0.0000 0.0000 0.0104 0.0332 0.0027 0.1836
7.4 35000 -3.99 0.7859 0.0000 0.2764 0.0059 0.0062 0.0159 0.0045 0.0000 0.0000 0.0023 0.0412 0.0000 0.0010
7.4 35000 -3.74 0.9481 0.0000 0.2682 0.0101 0.0070 0.0179 0.0051 0.0000 0.0000 0.0030 0.0456 0.0000 0.0037
7.4 35000 -3.51 1.1904 0.0040 0.2486 0.0187 0.0110 0.0282 0.0080 0.0000 0.0000 0.0058 0.0518 0.0000 0.0145
7.4 35000 -3.27 1.4330 0.0151 0.2122 0.0290 0.0115 0.0296 0.0083 0.0000 0.0000 0.0073 0.0556 0.0000 0.0348
7.4 35000 -3.03 1.6031 0.0318 0.1735 0.0373 0.0082 0.0211 0.0060 0.0000 0.0000 0.0061 0.0579 0.0000 0.0484
7.4 35000 -2.79 1.8222 0.1705 0.1261 0.0518 0.0131 0.0337 0.0095 0.0000 0.0000 0.0115 0.0520 0.0000 0.1493
7.4 35000 -2.55 1.8157 0.3584 0.0940 0.0601 0.0146 0.0375 0.0105 0.0000 0.0000 0.0140 0.0459 0.0000 0.2266
7.4 35000 -2.29 1.7246 0.5832 0.0701 0.0663 0.0164 0.0421 0.0118 0.0000 0.0000 0.0167 0.0389 0.0000 0.3087
7.4 35000 -2.04 1.5863 0.8299 0.0527 0.0711 0.0181 0.0466 0.0130 0.0000 0.0000 0.0194 0.0315 0.0000 0.3977
7.4 35000 -1.79 1.4221 1.0884 0.0404 0.0747 0.0194 0.0501 0.0140 0.0000 0.0000 0.0217 0.0248 0.0025 0.4915
7.4 35000 -1.54 1.2436 1.3603 0.0314 0.0775 0.0200 0.0518 0.0144 0.0000 0.0000 0.0233 0.0192 0.0069 0.5931
7.4 37500 -3.99 0.8687 0.0020 0.2751 0.0099 0.0141 0.0362 0.0103 0.0000 0.0000 0.0061 0.0442 0.0000 0.0067
7.4 37500 -3.74 1.0496 0.0070 0.2528 0.0161 0.0157 0.0403 0.0114 0.0000 0.0000 0.0079 0.0484 0.0000 0.0155
7.4 37500 -3.51 1.2777 0.0207 0.2217 0.0258 0.0179 0.0459 0.0129 0.0000 0.0000 0.0107 0.0523 0.0000 0.0382
7.4 37500 -3.27 1.4966 0.0768 0.1770 0.0375 0.0189 0.0485 0.0136 0.0000 0.0000 0.0134 0.0515 0.0000 0.0839
7.4 37500 -3.03 1.6225 0.2460 0.1323 0.0497 0.0197 0.0504 0.0141 0.0000 0.0000 0.0163 0.0448 0.0000 0.1652
7.4 37500 -2.79 1.5571 0.5628 0.0959 0.0604 0.0203 0.0519 0.0145 0.0000 0.0000 0.0190 0.0360 0.0000 0.2761
7.4 37500 -2.54 1.3846 0.9207 0.0701 0.0683 0.0206 0.0529 0.0148 0.0000 0.0000 0.0213 0.0281 0.0000 0.3910
7.4 37500 -2.29 1.1960 1.2575 0.0525 0.0737 0.0208 0.0535 0.0149 0.0000 0.0000 0.0230 0.0218 0.0013 0.5032
7.4 37500 -2.04 1.0141 1.5737 0.0407 0.0775 0.0209 0.0537 0.0150 0.0000 0.0000 0.0243 0.0168 0.0040 0.6184
7.4 37500 -1.79 0.8454 1.8780 0.0325 0.0798 0.0208 0.0538 0.0150 0.0000 0.0000 0.0253 0.0131 0.0094 0.7452
7.4 37500 -1.54 0.7033 2.1635 0.0268 0.0811 0.0207 0.0537 0.0150 0.0000 0.0000 0.0261 0.0104 0.0181 0.8865
